airportName,country,airportCode
Abha,Saudi Arabia,AHB
Al-ahsa,Saudi Arabia,HOF
El-baha,Saudi Arabia,ABT
Bisha,Saudi Arabia,BHH
Abqaiq,Saudi Arabia,\N
Dammam,Saudi Arabia,DMM
Dhahran,Saudi Arabia,DHA
Gizan,Saudi Arabia,GIZ
Gassim,Saudi Arabia,ELQ
Guriat,Saudi Arabia,URY
Hail,Saudi Arabia,HAS
Jubail,Saudi Arabia,QJB
Jeddah,Saudi Arabia,\N
Jeddah,Saudi Arabia,JED
King Khalid Mil.city,Saudi Arabia,KMC
Madinah,Saudi Arabia,MED
Nejran,Saudi Arabia,EAM
Hafr Al-batin,Saudi Arabia,AQI
Petroline 3,Saudi Arabia,\N
Petroline 6,Saudi Arabia,\N
Petroline 10,Saudi Arabia,\N
Rabigh,Saudi Arabia,\N
Rafha,Saudi Arabia,RAH
Riyadh,Saudi Arabia,RUH
Rash Mishab,Saudi Arabia,\N
Arar,Saudi Arabia,RAE
Ras Tanura,Saudi Arabia,\N
Sharurah,Saudi Arabia,SHW
Sulayel,Saudi Arabia,SLF
Tabuk,Saudi Arabia,TUU
Taif,Saudi Arabia,TIF
Thumamah,Saudi Arabia,\N
Ras Tanajib,Saudi Arabia,\N
Turaif,Saudi Arabia,TUI
Wejh,Saudi Arabia,EJH
Yenbo,Saudi Arabia,YNB
Abadan,Iran,ABD
Dezful,Iran,DEF
Aghajari,Iran,AKW
Gachsaran,Iran,GCH
Masjed Soleiman,Iran,\N
Omidyeh,Iran,OMI
Bandar Mahshahr,Iran,MRX
Ahwaz,Iran,AWZ
Abumusa I.,Iran,AEU
Bushehr,Iran,BUZ
Bastak,Iran,\N
Golbandi,Iran,\N
Kish Island,Iran,KIH
Bandar Lengeh,Iran,BDH
Khark Island,Iran,KHK
Siri Island,Iran,SXI
Lavan Island,Iran,LVP
Bakhtaran,Iran,KSH
Sanandaj,Iran,SDG
Daran,Iran,IFH
Esfahan,Iran,\N
Kashan,Iran,KKS
Esfahan,Iran,IFN
Sepah,Iran,\N
Rasht,Iran,RAS
Arak,Iran,AJK
Abe-ali,Iran,\N
Kushke Nosrat,Iran,\N
Teheran,Iran,\N
Teheran,Iran,\N
Teheran,Iran,THR
Ghazvin,Iran,GZW
Khoram Dareh,Iran,\N
Bandar Abbas,Iran,BND
Jiroft,Iran,JYR
Kerman,Iran,KER
Bandar Abbas,Iran,HDR
Gheshm I.,Iran,\N
Sirjan,Iran,SYJ
Birjand,Iran,XBJ
Sarakhs,Iran,CKT
Emam Shahr,Iran,RUD
Tabas,Iran,TCX
Kalaleh,Iran,KLM
Ramsar,Iran,RZR
Fasa,Iran,FAZ
Jahrom,Iran,JAR
Lamerd,Iran,LFM
Shiraz,Iran,SYZ
Khoy,Iran,KHY
Tabriz,Iran,TBZ
Zanjan,Iran,JWN
Yazd,Iran,AZD
Zabol,Iran,ACZ
Chah Bahar,Iran,ZBR
Zahedan,Iran,ZAH
Iran Shahr,Iran,IHR
Saravan,Iran,\N
Amman,Jordan,AMM
Amman,Jordan,ADJ
Aqaba,Jordan,AQJ
Hotel Four,Jordan,\N
Jerusalem,West Bank,\N
Mafraq,Jordan,OMF
Kuwait,Kuwait,KWI
Beirut,Lebanon,BEY
Kleiat,Lebanon,KYE
Abu Dhabi,United Arab Emirates,AUH
Abu Dhabi,United Arab Emirates,AZI
Al Hamra,United Arab Emirates,\N
Jebel Dhana,United Arab Emirates,\N
Abu Dhabi,United Arab Emirates,DHF
Arzana,United Arab Emirates,\N
Das Island,United Arab Emirates,\N
Zirku,United Arab Emirates,\N
Dubai,United Arab Emirates,DXB
Fujeirah,United Arab Emirates,FJR
Ras Al Khaimah,United Arab Emirates,RKT
Sharjah,United Arab Emirates,SHJ
Khasab,Oman,KHS
Masirah,Oman,MSH
Muscat,Oman,MCT
Salalah,Oman,SLL
Thumrait,Oman,TTH
Bhagtanwala,Pakistan,BHW
Faisalabad,Pakistan,LYP
Gwadar,Pakistan,GWD
Gilgit,Pakistan,GIL
Jacobsbad,Pakistan,JAG
Karachi,Pakistan,KHI
Lahore,Pakistan,LHE
Lahore,Pakistan,\N
Mangla,Pakistan,XJM
Muzaffarabad,Pakistan,MFG
Mianwali,Pakistan,MWD
Moenjodaro,Pakistan,MJD
Karachi,Pakistan,\N
Multan,Pakistan,MUX
Nawabshah,Pakistan,WNS
Okara,Pakistan,\N
Panjgur,Pakistan,PJG
Pasni,Pakistan,PSI
Peshawar,Pakistan,PEW
Qasim,Pakistan,\N
Quetta,Pakistan,UET
Rahim Yar Khan,Pakistan,RYK
Islamabad,Pakistan,\N
Risalpur,Pakistan,\N
Rawala Kot,Pakistan,RAZ
Sukkur,Pakistan,SKZ
Saidu Sharif,Pakistan,SDT
Sui,Pakistan,SUL
Talhar,Pakistan,BDN
Wana,Pakistan,WAF
Zhob,Pakistan,PZH
Basrah,Iraq,BSR
Aleppo,Syria,ALP
Damascus,Syria,DAM
Deire Zor,Syria,DEZ
Latakia,Syria,LTK
Palmyra,Syria,PMS
Doha,Qatar,DIA
Canton Island,Kiribati,CIS
Rota,Northern Mariana Islands,ROP
Saipan,Northern Mariana Islands,SPN
Andersen,Guam,UAM
Agana,Guam,GUM
West Tinian,Northern Mariana Islands,TIQ
Majuro,Marshall Islands,MAJ
Kwajalein,Marshall Islands,\N
Kwajalein,Marshall Islands,KWA
Kiritimati,Kiribati,CXI
Midway,Midway Islands,MDY
Chuuk,Micronesia,TKK
Pohnpei,Micronesia,PNI
Babelthuap,Palau,ROR
Kosrae,Micronesia,KSA
Yap,Micronesia,YAP
Kinmen,Taiwan,KNH
Pingtung,Taiwan,\N
Longtang,Taiwan,\N
Fengnin,Taiwan,TTT
Green Island,Taiwan,GNI
Kaohsiung,Taiwan,KHH
Chiayi,Taiwan,CYI
Lanyu,Taiwan,KYD
Taichung,Taiwan,RMQ
Tainan,Taiwan,TNN
Hsinchu,Taiwan,HSZ
Makung,Taiwan,MZG
Taitung,Taiwan,\N
Pingtung,Taiwan,PIF
Taipei,Taiwan,TSA
Taipei,Taiwan,TPE
Wang An,Taiwan,WOT
Hualien,Taiwan,HUN
Tokyo,Japan,NRT
Matsumoto,Japan,MMJ
Ibaraki,Japan,IBR
Minami Tori Shima,Japan,MUS
Iwojima,Japan,IWO
Nanki-shirahama,Japan,SHM
Kohnan,Japan,\N
Obihiro,Japan,OBO
Sapporo,Japan,CTS
Hakodate,Japan,HKD
Chitose,Japan,\N
Memanbetsu,Japan,MMB
Nakashibetsu,Japan,SHB
Tokachi,Japan,\N
Wakkanai,Japan,WKJ
Iki,Japan,IKI
Yamaguchi,Japan,UBJ
Tsushima,Japan,TSJ
Monbetsu,Japan,MBE
Asahikawa,Japan,AKJ
Okushiri,Japan,OIR
Rishiri Island,Japan,RIS
Ashiya,Japan,\N
Yakushima,Japan,KUM
Fukue,Japan,FUJ
Fukuoka,Japan,FUK
Tanegashima,Japan,TNE
Kagoshima,Japan,KOJ
Miyazaki,Japan,KMI
Nyutabaru,Japan,\N
Oita,Japan,OIT
Kitakyushu,Japan,KKJ
Kumamoto,Japan,KMJ
Nagasaki,Japan,NGS
Kanoya,Japan,\N
Tsuiki,Japan,\N
Amami,Japan,ASJ
Okierabu,Japan,OKE
Tokunoshima,Japan,TKN
Fukui,Japan,FKJ
Gifu,Japan,QGU
Hamamatsu,Japan,\N
Kanazawa,Japan,KMQ
Oki Island,Japan,OKI
Toyama,Japan,TOY
Yaizu,Japan,\N
Hiroshima,Japan,HIJ
Okayama,Japan,OKJ
Izumo,Japan,IZO
Hofu,Japan,\N
Miho,Japan,YGJ
Kochi,Japan,KCZ
Matsuyama,Japan,MYJ
Osaka,Japan,ITM
Tottori,Japan,TTJ
Tokushima,Japan,TKS
Takamatsu,Japan,TAK
Osaka,Japan,\N
Ozuki,Japan,\N
Aomori,Japan,AOJ
Yamagata,Japan,GAJ
Sado,Japan,SDS
Hachinoe,Japan,HHE
Hanamaki,Japan,HNA
Akita,Japan,AXT
Misawa,Japan,MSJ
Sendai,Japan,SDJ
Matsushima,Japan,\N
Atsugi,Japan,NJA
Tateyama,Japan,\N
Hachijojima,Japan,HAC
Iruma,Japan,\N
Kisarazu,Japan,\N
Shimofusa,Japan,\N
Oshima,Japan,OIM
Zama,Japan,\N
Tokyo,Japan,HND
Yokota,Japan,OKO
Kwangju,South Korea,KWJ
Jhunju,South Korea,CHN
Yeosu,South Korea,RSU
Sokch'o,South Korea,\N
Kangnung,South Korea,KAG
Cheju,South Korea,CJU
Chinhae,South Korea,CHF
Busan,South Korea,PUS
Ulsan,South Korea,USN
Pyongtaek,South Korea,\N
Seoul East,South Korea,SSN
Osan,South Korea,OSN
Seoul,South Korea,GMP
Suwon,South Korea,SWU
Pohang,South Korea,KPO
Taegu,South Korea,TAE
Yechon,South Korea,YEC
Okinawa,Japan,OKA
Iejima,Japan,\N
Kadena,Japan,DNA
Ishigaki,Japan,ISG
Kumejima,Japan,UEO
Minami Daito,Japan,MMD
Miyako,Japan,MMY
Kitadaito,Japan,KTD
Shimojishima,Japan,SHI
Tarama,Japan,TRA
Yoron,Japan,RNJ
Futema,Japan,\N
Yonaguni Jima,Japan,OGN
Manila,Philippines,MNL
Cotabato,Philippines,CBO
Ladag,Philippines,\N
Pagadian,Philippines,PAG
Romblon,Philippines,GES
Zamboanga,Philippines,ZAM
Baguio,Philippines,BAG
Daet,Philippines,DTE
Floridablanca,Philippines,\N
Lingayen,Philippines,\N
San Jose,Philippines,SJI
Lipa,Philippines,\N
Mamburao,Philippines,MBO
Vigan,Philippines,\N
Baler,Philippines,BQA
Bagabag,Philippines,\N
Tacloban,Philippines,TAC
Bacolod,Philippines,BCD
Dumaguete,Philippines,DGT
Caticlan,Philippines,MPH
Guiuan,Philippines,\N
Iloilo,Philippines,ILO
Kalibo,Philippines,KLO
Puerto Princesa,Philippines,PPS
San Jose,Philippines,EUQ
Concordia,Argentina,COC
Gualeguaychu,Argentina,GHU
Junin,Argentina,JNI
Parana,Argentina,PRA
Rosario,Argentina,ROS
Santa Fe,Argentina,SFN
Buenos Aires,Argentina,AEP
Cordoba,Argentina,COR
Gobernador Gordillo,Argentina,\N
San Fernando,Argentina,FDO
Jose C. Paz,Argentina,\N
La Plata,Argentina,LPG
Moron,Argentina,\N
El Palomar,Argentina,EPA
Chosmadal,Argentina,HOS
Fuerte Gral Roca,Argentina,GNR
Mendoza,Argentina,MDZ
Malargue,Argentina,LGS
San Rafael,Argentina,AFA
Catamarca,Argentina,CTC
Santiago Del Estero,Argentina,SDE
Tinogasta,Argentina,\N
La Rioja,Argentina,IRJ
Chilecito,Argentina,\N
Tucuman,Argentina,TUC
San Juan,Argentina,UAQ
Rio Cuarto,Argentina,RCU
Villa Dolores,Argentina,VDR
Laboulaye,Argentina,\N
Marcos Juarez,Argentina,\N
Villa Reynolds,Argentina,VME
San Luis,Argentina,LUQ
Corrientes,Argentina,CNQ
Resistencia,Argentina,RES
Formosa,Argentina,FMA
Iguazu Falls,Argentina,IGR
Paso De Los Libres,Argentina,AOL
Monte Caseros,Argentina,MCS
Posadas,Argentina,PSS
Presidencia R.s.pena,Argentina,PRQ
Salta,Argentina,SLA
Jujuy,Argentina,JUJ
Oran,Argentina,ORA
La Quiaca,Argentina,\N
El Dorado,Argentina,ELO
Goya,Argentina,OYA
Obera,Argentina,\N
Reconquista,Argentina,RCQ
Curuzu Cuatia,Argentina,UZU
El Bolson,Argentina,EHL
Comodoro Rivadavia,Argentina,CRD
Esquel,Argentina,EQS
Trelew,Argentina,REL
Viedma,Argentina,VDM
Puerto Madryn,Argentina,PMY
Marambio Base,Antarctica,\N
Puerto Deseado,Argentina,PUD
Rio Grande,Argentina,RGA
Rio Gallegos,Argentina,RGL
Ushuaia,Argentina,USH
San Julian,Argentina,ULA
Perito Moreno,Argentina,PMQ
Santa Cruz,Argentina,RZA
Bahia Blanca,Argentina,BHI
Colonel Suarez,Argentina,CSZ
Olavarria,Argentina,OVR
General Pico,Argentina,GPO
Tres Arroyos,Argentina,OYO
Bolivar,Argentina,\N
Mar Del Plata,Argentina,MDQ
Neuquen,Argentina,NQN
Pehuajo,Argentina,PEH
Santa Rosa,Argentina,RSA
San Carlos De Bariloche,Argentina,BRC
Tandil,Argentina,TDL
Villa Gesell,Argentina,VLG
Cutralco,Argentina,CUT
San Martin Des Andes,Argentina,CPC
Conceicao Do Araguaia,Brazil,CDJ
Rio De Janeiro,Brazil,\N
Amapa,Brazil,\N
Araracuara,Brazil,AQA
Aracaju,Brazil,AJU
Alta Floresta,Brazil,AFL
Aracatuba,Brazil,ARU
Belem,Brazil,BEL
Bage,Brazil,BGX
Belo Horizonte,Brazil,PLU
Curitiba,Brazil,BFH
Barbacena,Brazil,\N
Brasilia,Brazil,BSB
Bauru,Brazil,BAU
Boa Vista,Brazil,BVB
Barra Do Garcas,Brazil,BPG
Cascavel,Brazil,CAC
Itaituba,Brazil,\N
Belo Horizonte,Brazil,CNF
Campo Grande,Brazil,CGR
Chapeco,Brazil,XAP
Carolina,Brazil,CLN
Criciuma,Brazil,CCM
Porto Alegre,Brazil,\N
Campos,Brazil,CAW
Corumba,Brazil,CMG
Curitiba,Brazil,CWB
Caravelas,Brazil,CRQ
Caxias Do Sul,Brazil,CXJ
Cuiaba,Brazil,CGB
Cruzeiro do Sul,Brazil,CZS
President Prudente,Brazil,PPB
Manaus,Brazil,MAO
Jacare-acanga,Brazil,JCR
Sao Pedro Da Aldeia,Brazil,\N
Foz Do Iguacu,Brazil,IGU
Florianopolis,Brazil,FLN
Fernando Do Noronha,Brazil,FEN
Alpinopolis,Brazil,\N
Fortaleza,Brazil,FOR
Rio De Janeiro,Brazil,GIG
Guajara-mirim,Brazil,GJM
Goiania,Brazil,GYN
Macae,Brazil,\N
Sao Paulo,Brazil,GRU
Guaratingueta,Brazil,GUJ
Altamira,Brazil,ATM
Itaituba,Brazil,ITA
Itaituba,Brazil,ITB
Ilheus,Brazil,IOS
Ipatinga,Brazil,IPN
Itumbiara,Brazil,ITR
Imperatriz,Brazil,IMP
Belem,Brazil,\N
Juiz De Fora,Brazil,JDF
Joao Pessoa,Brazil,JPA
Joinville,Brazil,JOI
Campina Grande,Brazil,CPV
Campinas,Brazil,VCP
Lajes,Brazil,LAJ
Lins,Brazil,LIP
Londrina,Brazil,LDB
Bom Jesus Da Lapa,Brazil,LAZ
Lagoa Santa,Brazil,\N
Maraba,Brazil,MAB
Almeirim,Brazil,MEU
Maringa,Brazil,MGF
Montes Claros,Brazil,MOC
Manaus,Brazil,PLL
Maceio,Brazil,MCZ
Macapa,Brazil,MCP
Mocord,Brazil,MVF
Sao Paulo,Brazil,\N
Manicore,Brazil,MNX
Navegantes,Brazil,NVT
Santo Angelo,Brazil,GEL
Natal,Brazil,NAT
Oioiapoque,Brazil,OYK
Porto Alegre,Brazil,POA
Parnaiba,Brazil,PHB
Pocos De Caldas,Brazil,POO
Passo Fundo,Brazil,PFB
Pelotas,Brazil,PET
Petrolina,Brazil,PNZ
Porto Nacional,Brazil,PNB
Ponta Pora,Brazil,PMG
Porto Velho,Brazil,PVH
Rio Branco,Brazil,RBR
Recife,Brazil,REC
Rio De Janeiro,Brazil,SDU
Ribeirao Preto,Brazil,RAO
Rio De Janeiro,Brazil,SNZ
Sao Jose Dos Campos,Brazil,SJK
Sao Luis,Brazil,SLZ
Sao Paulo,Brazil,CGH
Sao Jose Do Rio Preto,Brazil,SJP
Santos,Brazil,SSZ
Salvador,Brazil,SSA
Oriximina,Brazil,TMT
Teresina,Brazil,THE
Tefe,Brazil,TFF
Tarauaca,Brazil,TRQ
Telemaco Borba,Brazil,TEC
Obidos Tirios,Brazil,\N
Tabatinga,Brazil,TBT
Tucurui,Brazil,TUR
Sao Gabriel,Brazil,SJL
Paulo Alfonso,Brazil,PAV
Uruguaiana,Brazil,URG
Uberlandia,Brazil,UDI
Uberaba,Brazil,UBA
Varginha,Brazil,VAG
Vilhena,Brazil,BVH
Vitoria,Brazil,VIX
Iauarete,Brazil,\N
Piracununga,Brazil,QPS
Arica,Chile,ARI
Balmaceda,Chile,BBA
Santiago,Chile,\N
Chile Chico,Chile,CCH
Calama,Chile,CJC
Chillan,Chile,YAI
Punta Arenas,Chile,PUQ
Coyhaique,Chile,GXQ
Iquique,Chile,IQQ
Santiago,Chile,SCL
Antofagasta,Chile,ANF
Porvenir,Chile,WPR
Futaleufu,Chile,FFU
Los Angeles,Chile,LSQ
Puerto Williams,Chile,WPU
Concepcion,Chile,CCP
Easter Island,Chile,IPC
Osorno,Chile,ZOS
Vallenar,Chile,VLR
Rancagua,Chile,QRC
Isla Rey Jorge,Antarctica,TNM
La Serena,Chile,LSC
Santiago,Chile,\N
Temuco,Chile,PZS
Puerto Montt,Chile,PMC
Chaiten,Chile,WCH
Valdivia,Chile,ZAL
Ambato,Ecuador,ATF
Clementia,Ecuador,\N
Coca,Ecuador,OCC
Cuenca,Ecuador,CUE
Galapagos,Ecuador,GPS
Guayaquil,Ecuador,GYE
Gualaquiza,Ecuador,\N
Ibarra,Ecuador,\N
Km-192,Ecuador,\N
La Julia,Ecuador,\N
Latacunga,Ecuador,LTX
Macara,Ecuador,MRR
Macas,Ecuador,XMS
Machala,Ecuador,MCH
Montalvo,Ecuador,\N
Manta,Ecuador,MEC
Maragrosa,Ecuador,\N
Pasaje,Ecuador,\N
Portoviejo,Ecuador,PVO
Quevedo,Ecuador,\N
Quito,Ecuador,UIO
Riobamba,Ecuador,\N
Santa Rosa,Ecuador,ETR
Salinas,Ecuador,SNC
Santo Domingo,Ecuador,\N
Taura,Ecuador,\N
Tena,Ecuador,\N
Tarapoa,Ecuador,TPC
Tulcan,Ecuador,TUA
Asuncion,Paraguay,ASU
Ayolas,Paraguay,AYO
Conception,Paraguay,CIO
Itaipu,Paraguay,\N
Mariscal Estigarribia,Paraguay,ESG
Pilar,Paraguay,PIL
Armenia,Colombia,AXM
Puerto Asis,Colombia,PUU
El Banco,Colombia,ELB
Bucaramanga,Colombia,BGA
Bogota,Colombia,BOG
Barranquilla,Colombia,BAQ
Bahia Solano,Colombia,BSC
Buenaventura,Colombia,BUN
Cucuta,Colombia,CUC
Cartagena,Colombia,CTG
Cali,Colombia,CLO
Tumaco,Colombia,TCO
Corozal,Colombia,CZU
Barrancabermeja,Colombia,EJA
Florencia,Colombia,FLA
Girardot,Colombia,GIR
Guapi,Colombia,GPI
Guaymaral,Colombia,\N
Ibague,Colombia,IBE
Ipiales,Colombia,IPI
Carepa,Colombia,APO
La Mina,Colombia,MCJ
Leticia,Colombia,LET
Medellin,Colombia,EOH
Magangue,Colombia,MGN
Monteria,Colombia,MTR
Mitu,Colombia,MVP
Manizales,Colombia,MZL
Neiva,Colombia,NVA
Ocana,Colombia,OCV
Otu,Colombia,OTU
Puerto Bolivar,Colombia,\N
Puerto Carreno,Colombia,PCR
Pereira,Colombia,PEI
Pitalito,Colombia,PTX
Popayan,Colombia,PPN
Pasto,Colombia,PSO
Providencia,Colombia,PVA
Mariquita,Colombia,MQU
Rio Negro,Colombia,MDE
Rio Hacha,Colombia,RCH
San Jose Del Guaviare,Colombia,SJE
Santa Marta,Colombia,SMR
San Andres Island,Colombia,ADZ
San Vincente De Caguan,Colombia,SVI
Tame,Colombia,TME
Arauca,Colombia,AUC
Quibdo,Colombia,UIB
Tulua,Colombia,ULQ
Valledupar,Colombia,VUP
Villavicencio,Colombia,VVC
Bermejo,Bolivia,BJO
Cochabamba,Bolivia,CBB
Chapacura,Bolivia,CCA
Cobija,Bolivia,CIJ
La Paz,Bolivia,LPB
Oruro,Bolivia,ORU
Potosi,Bolivia,POI
Puerto Suarez,Bolivia,PSZ
Santa Ana,Bolivia,SBL
Sucre,Bolivia,SRE
Tarija,Bolivia,TJA
Trinidad,Bolivia,TDD
Villa Montes,Bolivia,VLM
Santa Cruz,Bolivia,VVI
Yacuiba,Bolivia,BYC
Zandery,Suriname,PBM
Cayenne,French Guiana,CAY
St.-georges Oyapock,French Guiana,OYP
Huancabamba,Peru,\N
Andoas,Peru,AOP
Atalaya,Peru,\N
Iberia,Peru,IBP
Pucallpa,Peru,PCL
Chimbote,Peru,CHM
Puerto Esperanza,Peru,\N
Moquegua,Peru,\N
Chiclayo,Peru,CIX
Ayacucho,Peru,AYP
Andahuaylas,Peru,ANS
Anta,Peru,ATA
Lima,Peru,LIM
Juanjui,Peru,JJI
Jauja,Peru,JAU
Juliaca,Peru,JUL
Ilo,Peru,ILQ
Las Palmas,Peru,\N
Tumbes,Peru,TBP
Yurimaguas,Peru,YMS
Collique,Peru,\N
Chachapoyas,Peru,CHH
Iquitos,Peru,IQT
Arequipa,Peru,AQP
San Ramon,Peru,\N
Trujillo,Peru,TRU
Pisco,Peru,PIO
Tarapoto,Peru,TPP
Tacna,Peru,TCQ
Puerto Maldonado,Peru,PEM
Piura,Peru,PIU
Talara,Peru,TYL
Cuzco,Peru,CUZ
Montevideo,Uruguay,\N
Durazno,Uruguay,DZO
Montevideo,Uruguay,MVD
Salto,Uruguay,STY
Acarigua,Venezuela,AGV
Anaco,Venezuela,AAO
San Fernando Deatabapo,Venezuela,\N
Barcelona,Venezuela,BLA
Barinas,Venezuela,BNS
Maracaibo,Venezuela,\N
Barquisimeto,Venezuela,BRM
Ciudad Bolivar,Venezuela,CBL
Caicara De Orinoco,Venezuela,CXA
San Carlos,Venezuela,\N
Calabozo,Venezuela,CLZ
Canaima,Venezuela,CAJ
Carora,Venezuela,VCR
Carupano,Venezuela,CUP
Coro,Venezuela,CZE
Caracas,Venezuela,\N
Cumana,Venezuela,CUM
Carrizal,Venezuela,\N
El Dorado,Venezuela,EOR
Elorza,Venezuela,EOZ
Guasdualito,Venezuela,GDO
Guiria,Venezuela,GUI
Guanare,Venezuela,GUQ
Higuerote,Venezuela,HGE
Isla De Coche,Venezuela,ICC
Paraguana,Venezuela,LSP
San Juan De Los Morros,Venezuela,\N
La Fria,Venezuela,LFR
La Orchila,Venezuela,\N
Maracaibo,Venezuela,MAR
Merida,Venezuela,MRD
Porlamar,Venezuela,PMV
Caracas,Venezuela,CCS
Maturin,Venezuela,MUN
Puerto Ayacucho,Venezuela,PYH
Puerto Cabello,Venezuela,PBL
San Cristobal,Venezuela,SCI
Guayana,Venezuela,PZO
Palmarito,Venezuela,PTM
San Antonio,Venezuela,SVZ
Santa Barbara,Venezuela,SBB
Santa Ana De Uairen,Venezuela,SNV
Santo Domingo,Venezuela,STD
San Felipe,Venezuela,SNF
San Fernando De Apure,Venezuela,SFD
San Tome,Venezuela,SOM
Santa Barbara,Venezuela,STB
Tucupita,Venezuela,TUV
Tumeremo,Venezuela,TMO
Valencia,Venezuela,VLN
Valera,Venezuela,VLV
Valle De La Pascua,Venezuela,VDP
Linden,Guyana,\N
Lethem,Guyana,LTM
Antigua,Antigua and Barbuda,ANU
Bridgetown,Barbados,BGI
Canefield,Dominica,DCF
Dominica,Dominica,DOM
Fort-de-france,Martinique,FDF
St. Martin,Guadeloupe,SFG
Pointe-a-pitre,Guadeloupe,PTP
Point Salines,Grenada,GND
St. Thomas,Virgin Islands,STT
St. Croix Island,Virgin Islands,STX
Aguadilla,Puerto Rico,BQN
Fajardo,Puerto Rico,FAJ
San Juan,Puerto Rico,SIG
Mayaguez,Puerto Rico,MAZ
Ponce,Puerto Rico,PSE
San Juan,Puerto Rico,SJU
Basse Terre,Saint Kitts and Nevis,SKB
Castries,Saint Lucia,SLU
Hewandorra,Saint Lucia,UVF
Oranjestad,Aruba,AUA
Kralendijk,Netherlands Antilles,BON
Willemstad,Netherlands Antilles,CUR
Oranjestad,Netherlands Antilles,EUX
Philipsburg,Netherlands Antilles,SXM
The Valley,Anguilla,AXA
Scarborough,Trinidad and Tobago,TAB
Port-of-spain,Trinidad and Tobago,POS
Tortola,British Virgin Islands,EIS
Canouan Island,Saint Vincent and the Grenadines,CIW
Mustique,Saint Vincent and the Grenadines,MQS
Kingstown,Saint Vincent and the Grenadines,SVD
Alma-ata,Kazakhstan,ALA
Balkhash,Kazakhstan,BXH
Tselinograd,Kazakhstan,TSE
Dzhambul,Kazakhstan,DMB
Bishkek,Kyrgyzstan,FRU
Osh,Kyrgyzstan,OSS
Chimkent,Kazakhstan,CIT
Uralsk,Kazakhstan,URA
Pavlodar,Kazakhstan,PWQ
Semiplatinsk,Kazakhstan,PLX
Aktyubinsk,Kazakhstan,AKX
Baku,Azerbaijan,GYD
Yakutsk,Russia,YKS
Mirnyj,Russia,MJZ
Blagoveschensk,Russia,BQS
Khabarovsk,Russia,KHV
Provideniya Bay,Russia,PVS
Magadan,Russia,GDX
Pevek,Russia,PWE
Petropavlovsk,Russia,PKC
Yuzhno-sakhalinsk,Russia,UUS
Vladivostok,Russia,VVO
Chita,Russia,HTA
Bratsk,Russia,BTK
Irkutsk,Russia,IKT
Ulan-ude,Russia,UUD
Kiev,Ukraine,KBP
Donetsk,Ukraine,DOK
Dnepropetrovsk,Ukraine,DNK
Simferopol,Ukraine,SIP
Kiev,Ukraine,IEV
Lvov,Ukraine,LWO
Odessa,Ukraine,ODS
St. Petersburg,Russia,LED
Murmansk,Russia,MMK
Gomel,Belarus,GME
Vitebsk,Belarus,VTB
Kaliningrad,Russia,KGD
Minsk,Belarus,MHP
Minsk 2,Belarus,MSQ
Abakan,Russia,ABA
Barnaul,Russia,BAX
Kemorovo,Russia,KEJ
Omsk,Russia,OMS
Krasnodar,Russia,KRR
Makhachkala,Russia,MCX
Mineralnye Vody,Russia,MRV
Stavropol,Russia,STW
Rostov,Russia,ROV
Sochi,Russia,AER
Astrakhan,Russia,ASF
Volgograd,Russia,VOG
Chelyabinsk,Russia,CEK
Magnetiogorsk,Russia,MQF
Nizhnevartovsk,Russia,NJC
Perm,Russia,PEE
Surgut,Russia,SGC
Yekaterinburg,Russia,SVX
Ashkhabad,Turkmenistan,ASB
Krasnovodsk,Turkmenistan,KRW
Chardzhou,Turkmenistan,CRZ
Dushanbe,Tajikistan,DYU
Bukhara,Uzbekistan,BHK
Samarkand,Uzbekistan,SKD
Tashkent,Uzbekistan,TAS
Bryansk,Russia,BZK
Moscow,Russia,SVO
Tver,Russia,KLD
Voronezh,Russia,VOZ
Moscow,Russia,VKO
Syktyvkar,Russia,SCW
Kazan,Russia,KZN
Orenburg,Russia,REN
Ufa,Russia,UFA
Samara,Russia,KUF
Ahmedabad,India,AMD
Akola,India,AKD
Aurangabad,India,IXU
Mumbai,India,BOM
Bilaspur,India,PAB
Bhuj,India,BHJ
Belgaum,India,IXG
Baroda,India,BDQ
Bhopal,India,BHO
Bhaunagar,India,BHU
Daman,India,NMB
Deesa,India,\N
Guna,India,GUX
Goa,India,GOI
Indore,India,IDR
Jabalpur,India,JLR
Jamnagar,India,JGA
Kandla,India,IXY
Khajuraho,India,HJR
Kolhapur,India,KLH
Keshod,India,IXK
Nagpur,India,NAG
Nasik Road,India,ISK
Pune,India,PNQ
Porbandar,India,PBD
Rajkot,India,RAJ
Raipur,India,RPR
Sholapur,India,SSE
Surat,India,STV
Udaipur,India,UDR
Colombo,Sri Lanka,CMB
Anuradhapura,Sri Lanka,ACJ
Batticaloa,Sri Lanka,BTC
Colombo,Sri Lanka,RML
Galoya,Sri Lanka,ADP
Jaffna,Sri Lanka,JAF
Trinciomalee,Sri Lanka,TRR
Kompong Chnang,Cambodia,KZC
Phnom-penh,Cambodia,PNH
Siem-reap,Cambodia,REP
Stung Treng,Cambodia,TNX
Along,India,IXV
Agartala,India,IXA
Aizwal,India,AJL
Baghdogra,India,IXB
Bokaro,India,\N
Bhubaneswar,India,BBI
Kolkata,India,CCU
Cooch-behar,India,COH
Dhanbad,India,DBD
Gaya,India,GAY
Hirakud,India,\N
Imphal,India,IMF
Jharsuguda,India,\N
